Player,Club,POS,RACE,GP,GS,MINS,Fouls
A.J. DeLaGarza,LA,D,W,24,23,2064,21
Aaron Kovar,SEA,M,W,16,10,811,12
Aaron Maund,RSL,D,B,20,20,1746,24
Adrian Winter,ORL,M,W,13,12,975,18
Alan Gordon,LA,F,W,22,7,710,17
Alberto Quintero,SJ,M,B,30,29,2230,25
Alejandro Bedoya,PHI,M,W,10,10,844,24
Alex Lima,HOU,M,B,30,29,2476,40
Alex Muyl,NY,F,W,27,18,1599,41
alvaro Saborio,DC,F,B,19,8,890,19
Alvas Powell,POR,D,B,23,23,2015,21
Amadou Dia,MTL,D,B,11,10,907,20
Ambroise Oyongo,MTL,D,B,27,26,2316,13
Andoni Iraola,NYC,D,W,29,25,2180,22
Andrea Pirlo,NYC,M,W,32,32,2770,29
Andreas Ivanschitz,SEA,M,W,28,25,1910,13
Andres Imperiale,SJ,D,W,11,10,869,9
Andrew Farrell,NE,D,B,33,32,2891,15
Andrew Jacobson,VAN,M,W,26,18,1751,27
Andrew Wenger,HOU,F,W,32,24,2062,27
Anibal Godoy,SJ,M,B,23,23,1941,45
Antonio Nocerino,ORL,M,W,21,19,1509,27
Arturo Alvarez,CHI,M,W,30,24,1923,19
Ashley Cole,LA,D,B,26,25,2227,22
Atiba Harris,DAL,M,B,28,22,1970,29
Aurelien Collin,NY,D,W,25,22,2067,37
Axel Sjoberg,COL,D,W,31,31,2772,25
Baggio Husidic,LA,M,W,29,16,1556,21
Ben Zemanski,POR,M,W,16,11,1010,10
Benny Feilhaber,SKC,M,W,30,28,2563,33
Benoit Cheyrou,TOR,M,W,14,9,800,9
Blas Perez,VAN,F,W,22,5,754,26
Bobby Boswell,DC,D,W,30,29,2632,24
Bobby Burling,COL,D,W,16,16,1415,21
Boniek Garcia,HOU,M,B,31,24,2249,35
Brad Davis,KC,M,W,24,14,1300,10
Brad Evans,SEA,D,W,23,21,1866,12
Bradley Wright-Phillips,NY,F,B,34,32,2761,53
Brandon Vincent,CHI,D,B,26,24,2191,33
Brek Shea,ORL,D,W,27,22,2003,27
Brian Carroll,PHI,M,W,26,23,2094,40
C.J. Sapong,PHI,F,B,31,29,2535,44
Calum Mallace,MTL,M,W,18,10,862,11
Carlos Gruezo,DAL,M,B,27,26,2240,55
Carlos Rivas,ORL,M,B,21,8,799,19
Chad Marshall,SEA,D,W,30,30,2634,13
Chris Duvall,NY,D,B,25,20,1889,19
Chris Klute,POR,D,B,8,8,709,8
Chris Pontius,PHI,M,W,33,32,2571,18
Chris Tierney,NE,D,W,28,27,2321,6
Chris Wingert,RSL,D,W,20,18,1514,14
Chris Wondolowski,SJ,F,W,30,30,2697,21
Christian Bolanos,VAN,M,W,27,23,2116,24
Clint Dempsey,SEA,M,W,17,17,1429,23
Collen Warner,HOU,M,B,24,24,1979,41
Connor Hallisey,SKC,F,W,17,12,1072,5
Connor Lade,NY,D,W,18,15,1380,17
Cordell Cato,SJ,F,B,21,15,1391,9
Corey Ashe,CLB,M,B,18,14,1214,7
Cristian Higuita,ORL,M,B,21,16,1513,42
Cristian Maidana,HOU,M,W,30,21,1695,8
Cristian Roldan,SEA,M,B,33,28,2632,27
Cristian Techera,VAN,M,W,29,19,1584,13
Cyle Larin,ORL,F,B,32,29,2455,24
Daigo Kobayashi,NE,M,W,27,6,701,6
DaMarcus Beasley,HOU,D,B,24,24,1979,15
Damien Perquis,TOR,D,W,12,11,986,12
Damien Perrinelle,NY,D,W,10,7,726,9
Daniel Steres,LA,D,W,31,29,2656,30
Darlington Nagbe,POR,M,B,27,27,2416,16
Darren Mattocks,POR,F,B,19,12,940,14
Darwin Ceren,SJ,M,B,28,23,2113,41
Dave Romney,LA,D,W,10,8,730,4
David Accam,CHI,F,B,24,21,1935,28
David Edgar,VAN,D,W,8,8,720,7
David Horst,HOU,D,W,26,24,2211,20
David Mateos,ORL,D,W,21,20,1759,26
David Villa,NYC,F,W,33,32,2869,47
Dax McCarty,NY,M,W,27,26,2268,28
Demar Phillips,RSL,D,B,29,23,2177,40
Didier Drogba,MTL,F,B,22,18,1650,26
Diego Chara,POR,M,B,30,30,2600,86
Diego Fagundez,NE,M,W,34,24,2236,17
Diego Valeri,POR,M,W,30,30,2634,22
Dillon Powers,COL,M,W,29,24,2122,31
Dom Dwyer,SKC,F,B,33,31,2823,66
Dominic Oduro,MTL,F,B,31,22,2028,18
Dominique Badji,COL,M,B,27,17,1571,39
Donny Toia,MTL,D,W,17,15,1365,17
Drew Moor,TOR,D,W,32,32,2880,15
Emmanuel Boateng,LA,F,B,26,17,1547,15
Eric Alexander,HOU,M,W,22,15,1374,14
Eric Miller,COL,D,W,26,23,2118,24
Erik Friberg,SEA,M,W,25,18,1582,17
Erik Hurtado,VAN,F,W,24,12,1230,30
Eriq Zavaleta,TOR,F,W,15,14,1277,7
Ethan Finlay,CLB,M,W,34,27,2462,18
Fabian Castillo,DAL,M,B,22,20,1752,28
Fabian Espindola,DC,F,W,15,10,926,9
Fabian Herbers,PHI,M,W,32,13,1290,18
Fabio Alves,PHI,D,B,29,29,2517,27
Fanendo Adi,POR,F,B,33,30,2649,70
Fatai Alashe,SJ,M,B,28,27,2335,41
Federico Bravo,NYC,M,W,21,11,1096,36
Federico Higuain,CLB,M,W,20,18,1607,10
Felipe Martins,NY,M,W,33,33,2898,51
Frank Lampard,NYC,M,W,19,15,1280,12
Fraser Aird,VAN,D,W,18,16,1455,23
Frederic Brillant,NYC,D,W,31,31,2790,21
Gaston Sauro,CLB,D,W,13,12,918,23
Gershon Koffie,NE,M,B,22,19,1545,38
Giles Barnes,VAN,M,B,24,21,1807,27
Giovani dos Santos,LA,F,B,28,27,2350,17
Graham Zusi,SKC,M,W,21,18,1651,13
Gyasi Zardes,LA,F,B,19,17,1604,10
Harrison Afful,CLB,D,B,30,30,2567,27
Harry Shipp,MTL,M,W,27,20,1596,16
Hassoun Camara,MTL,D,B,27,26,2249,44
Hector Jimenez,CLB,M,W,25,14,1239,4
Herculez Gomez,SEA,F,W,21,9,842,16
Hernan Bernardello,MTL,M,W,12,11,991,13
Ignacio Piatti,MTL,M,W,32,31,2818,35
Ike Opara,SKC,D,B,25,16,1542,22
Ilson Pereira,PHI,M,W,25,14,1286,13
Jack Harrison,NYC,M,W,21,17,1574,15
Jack Jewsbury,POR,M,W,23,17,1503,17
Jack McInerney,POR,F,W,24,8,904,16
Jacob Peterson,KC,F,W,21,18,1500,8
Jalil Anibaba,HOU,D,B,30,28,2614,27
Jamison Olave,RSL,D,B,17,16,1482,10
Jared Jeffrey,DC,M,W,21,14,1314,40
Jared Watts,COL,D,W,21,18,1647,18
Jason Hernandez,NYC,D,B,31,26,2292,26
Javier Morales,RSL,M,W,29,23,2182,32
Jay Chapman,TOR,M,W,18,9,780,14
Jeff Larentowicz,LA,M,W,23,17,1501,33
Jefferson Mena,NYC,D,B,16,16,1306,14
Jelle Van Damme,LA,D,W,28,28,2436,44
Jermaine Jones,COL,M,B,9,8,725,21
Jermaine Taylor,POR,D,B,23,21,1841,27
Je-Vaughn Watson,NE,D,B,23,19,1705,24
Jimmy Medranda,SKC,M,B,28,22,1939,36
Joao Meira,CHI,D,W,28,26,2284,35
Joao Plata,RSL,F,B,30,28,2478,13
Joevin Jones,SEA,D,B,33,29,2547,29
Johan Kappelhof,CHI,D,B,33,31,2789,35
Johan Venegas,MTL,M,B,20,7,683,18
John Goossens,CHI,M,W,24,15,1288,10
John Stertzer,RSL,M,W,18,9,777,14
Jonathan Campbell,CHI,D,W,33,30,2823,14
Jonathan Osorio,TOR,M,W,30,26,2440,25
Jordan Allen,RSL,M,B,23,11,1099,15
Jordan Hamilton,TOR,F,B,14,11,911,9
Jordan Harvey,VAN,D,W,28,28,2520,26
Jordan Morris,SEA,F,W,34,32,2856,29
Jordan Smith,VAN,D,B,17,15,1267,18
Jordan Stewart,SJ,M,B,15,14,1221,15
Jose Aja,ORL,D,W,10,9,830,16
